date,mintemp,maxtemp,meantemp,rain,meanuv,maxuv,humidity,windspeed,aqi
2022/6/6,27.6,30.6,28.9,2.5,2,10,83,18.5, 44
2022/6/7,24.6,29.6,27.4,33.8,2,8,86,14.9, 34
2022/6/8,24.7,28,25.8,66, 0.4,2,93,13.2, 39
2022/6/9,25,27.9,26.3,28.7,1,6,90,13, 42
2022/6/10,25,27.3,26.1,25.8,1,4,92,12.8, 37
2022/6/11,25.3,29.1,26.8,47.5,2,5,89,14, 45
2022/6/12,25.6,30.3,28.4,2.6,3,9,84,19.3, 45
2022/6/13,28.1,30.6,28.9,0,4,10,80,24.1, 44
2022/6/14,24.8,29.3,27.4,42.8,1,4,87,17.3, 51
2022/6/15,24,30.5,26.7,11,3,9,88,11.8, 51
2022/6/16,24.3,30.5,27.6,2.6,3,9,84,17.4, 42
2022/6/17,28,31,29,1,4,11,79,22.1, 33
2022/6/18,27.5,29.8,28.8,1.3,2,4,81,20.3, 36
2022/6/19,28,30.9,29.3,0.1,3,7,81,22.3, 40
2022/6/20,27.6,30.4,29.2,2.8,3,6,80,23.5, 42
2022/6/21,28.6,30.5,29.4,0.1,2,4,80,20.2, 43
2022/6/22,28.1,31.8,29.5,0,4,9,78,15.4, 31
2022/6/23,27.9,33.8,30,0,5,11,74,14.6, 26
2022/6/24,27.8,33.4,30,0,6,12,73,12, 33
2022/6/25,27.7,32.8,29.6,0,6,12,74,14.1, 32
2022/6/26,26.8,33.9,30,0.3,6,12,74,12.6, 27
2022/6/27,27.8,33.4,30.1,0.1,5,11,73,13.6, 30
2022/6/28,28.2,34.4,30.6,0,6,11,71,11.7, 38
2022/6/29,28.1,33.9,30.2,0.7,5,12,78,13.6, 29
2022/6/30,25.9,29.6,27.5,64.9,2,5,89,16.2, 28
2022/7/1,25.4,29.7,27.2,63,3,9,85,31.3, 22
2022/7/2,25.6,28.4,26.9,72.4,1,4,89,41.8, 26
2022/7/3,28.2,30.3,29,0,2,7,82,39.3, 48
2022/7/4,27.9,29.4,28.8,0.4,1,2,83,30.4, 49
2022/7/5,28.4,29.7,29,0.2,1,3,82,19.9, 43
2022/7/6,28,30.3,28.8,0.5,2,8,81,12.7, 47
2022/7/7,27.2,31.6,28.7,13.1,3,9,86,14.6, 47
2022/7/8,27.7,33.8,30,0.1,6,12,79,15.3, 32
2022/7/9,28.6,33.3,29.9,0.1,5,12,81,16.1, 27
2022/7/10,28.6,34.2,30.5,0.1,6,12,77,15.6, 32
2022/7/11,28.5,35.1,30.9,0,6,11,73,12.5, 45
2022/7/12,28.6,35.2,31.1,0,6,11,72,13.8, 42
2022/7/13,28.4,35.2,31,0,5,9,71,11, 43
2022/7/14,28.5,33.1,30.4,0,5,11,75,13.1, 34
2022/7/15,28.6,34.3,30.4,0.2,5,11,77,11.6, 31
2022/7/16,28.8,33.3,30.5,1.5,6,12,77,19.3, 39
2022/7/17,28.8,32.6,30.5,1.2,6,11,76,21.5, 43
2022/7/18,28.5,32.7,30.4,2.7,4,9,78,16.1, 42
2022/7/19,29.1,33.7,30.8,0.1,5,10,75,14.7, 42
2022/7/20,29.2,34.2,30.8,0.6,5,10,76,16.5, 40
2022/7/21,28.1,35.2,30.9,0.3,6,12,74,13.4, 28
2022/7/22,28.2,35.6,31.2,0,6,11,72,10.3, 50
2022/7/23,29.2,34.9,31.4,0,6,11,74,12.1, 47
2022/7/24,29.5,36.1,32,0,6,11,72,11.4, 54
2022/7/25,29.9,35.8,32,0,5,10,74,11.8, 68
2022/7/26,29.1,35.2,31.2,0,6,12,71,13.9, 48
2022/7/27,29,34.2,31,0,6,11,69,11.9, 33
2022/7/28,28.8,35.3,31.2,0,5,10,73,11.8, 52
2022/7/29,29.7,35.3,31.7,0,4,9,74,9, 71
2022/7/30,26.5,31.2,29.5,2.4, 0.9,2,81,8.8, 88
2022/7/31,28.3,34,30.8,0,5,9,76,10.3, 102
2022/8/1,29.1,35.7,31.4,0,6,11,69,11.3, 46
2022/8/2,28,35.2,31.1,0.2,5,10,70,11.2, 38
2022/8/3,25.6,30.8,28.2,34.9,2,8,82,9.4, 51
2022/8/4,25.9,28.4,27.1,14.9,1,4,86,10.8, 48
2022/8/5,24.5,28.6,26.1,165.5,2,8,94,12.5, 41
2022/8/6,26.1,30.9,27.9,5.5,4,11,89,12.2, 38
2022/8/7,27.6,32.6,29.6,2.8,6,12,82,16.1, 33
2022/8/8,26.2,30.9,28.3,33.3,2,9,87,14.8, 39
2022/8/9,25.4,28.5,26.7,72,2,4,88,23.2, 23
2022/8/10,25.8,29.6,27.4,49.7,2,4,90,28.1, 39
2022/8/11,25.5,28.8,26.7,12.4,2,5,90,17.1, 33
2022/8/12,24.9,27.1,26.1,76, 0.9,3,93,8.9, 39
2022/8/13,25.8,32.6,28.7,0,3,8,81,10.5, 42
2022/8/14,26.9,33.3,29.5,0,5,11,78,9.1, 37
2022/8/15,28.1,33.6,30,0,5,11,78,10.3, 42
2022/8/16,26.2,33.2,29.4,9.1,4,12,82,10.9, 37
2022/8/17,26.2,32.3,28.2,29.8,4,12,86,17.3, 28
2022/8/18,26.2,30.4,28.1,22.1,3,9,87,11.3, 43
2022/8/19,26.4,32,28.3,4.8,4,11,85,12.6, 34
2022/8/20,26.5,31.9,28.2,8.4,4,12,83,18.4, 29
2022/8/21,26.6,32.9,29,1.9,4,10,84,15, 35
2022/8/22,28.2,32.9,30.1,0,6,11,77,11.5, 46
2022/8/23,28.6,34.5,31.1,0,4,10,77,10, 77
2022/8/24,26.4,34.9,30.8,5.5,4,10,73,20, 68
2022/8/25,25,29.8,27.2,48.1,3,11,85,27.3, 34
2022/8/26,27.5,32.9,29.4,0.1,5,11,80,15.6, 42
2022/8/27,27.4,33,29.7,0,6,11,78,10.1, 51
2022/8/28,28.3,34.4,30.5,0,5,11,80,10.6, 68
2022/8/29,28.6,34.6,30.1,0,4,11,78,9.7, 66
2022/8/30,27.9,32.3,29.5,13.1,4,10,80,9.1, 68
2022/8/31,28.1,31.7,29.7,4.7,3,8,80,8.3, 100
2022/9/1,26.9,32.9,29.4,2.8,3,9,78,10.8, 100
2022/9/2,27.3,32.3,29.5,0,4,9,63,16.2, 67
2022/9/3,26.9,33.9,30,0,5,9,54,18.8, 81
2022/9/4,27.7,34.7,30.8,0,5,10,55,16.3, 63
2022/9/5,28.8,35.3,31.1,0,5,10,52,11.9, 79
2022/9/6,28.4,34.5,30.8,0,5,9,61,11.9, 86
2022/9/7,26.7,29.6,28.4,8.6,2,5,81,18.8, 62
2022/9/8,27.8,32.8,29.5,0.1,5,11,70,14.1, 65
2022/9/9,27.5,33.3,29.6,0,5,9,55,11.3, 75
2022/9/10,27.6,31.4,28.9,0.1,2,6,76,9.5, 100
2022/9/11,27.4,32.1,29.4,0,4,8,78,9.3, 105
2022/9/12,28.2,33.7,30.8,0,4,8,66,10.4, 124
2022/9/13,28.8,35.9,31.7,0,4,8,56,9.2, 114
2022/9/14,29.6,35.5,31.7,0,4,8,46,11.1, 104
2022/9/15,28.7,34.5,31.3,0,4,8,52,9.1, 93
2022/9/16,28.6,33.8,30.8,0.1,3,7,63,8.8, 131
2022/9/17,29.1,33.9,31.1,0.1,3,7,69,11.1, 121
2022/9/18,27.4,34,30.1,20.3,4,8,77,13.3, 94
2022/9/19,25.9,32.3,28.8,3.3,3,7,77,12.1, 90
2022/9/20,26.2,30.7,28.9,3.5,2,6,79,17.8, 90
2022/9/21,25.8,30.4,28.1,8.5,4,9,72,21.4, 71
2022/9/22,26.9,31.2,28.5,0,4,8,73,16.7, 62
2022/9/23,25.6,32.1,28.5,13.4,2,5,77,11.2, 73
2022/9/24,25.8,31,28.3,0,4,8,71,19, 76
2022/9/25,26.9,32.7,28.8,0,4,9,71,12.9, 76
2022/9/26,27.2,33.7,29.4,0,4,9,70,14.8, 62
2022/9/27,28.1,32.3,29.2,0.1,3,9,72,23.2, 51
2022/9/28,27.7,31.2,28.8,0,3,7,73,27, 48
2022/9/29,25,29.7,28,8.1,2,6,81,23.2, 50
2022/9/30,24.8,28.3,26.4,102.7, 0.5,3,91,15.3, 38
2022/10/1,25.7,30.5,27.7,2.6,3,8,86,16.9, 40
